ts	phase	decision	why	evidence	result
2026-07-06T08:41:00Z	frame	started with P0 product narrative alignment	first loop unit needed a low-risk, checkable step before production hardening	/Users/go7hic/.cursor/projects/Users-go7hic-workspace-flareboard/canvases/posthog-upgrade-status.canvas.tsx	verified
2026-07-06T08:50:00Z	docs	updated README, API reference, DB migrations, design note, and feature catalog copy	these surfaces still described the older GA or Umami replacement story	README.md;docs/api.md;packages/db/README.md;apps/dashboard/DESIGN-NOTE.md;apps/dashboard/src/lib/i18n.ts;apps/dashboard/src/lib/features-catalog.ts	verified
2026-07-06T09:02:00Z	docs	accepted the first P0 documentation unit	dashboard typecheck passed and old conflicting PostHog copy no longer matches	pnpm --filter @flareboard/dashboard typecheck;rg old positioning strings	verified
2026-07-06T09:06:00Z	review	recorded reviewer warning about scope	the log covers this loop unit only and not the pre-existing large PostHog implementation set	c5aab866-1ea0-4246-b95b-d773651ff5a3	attention flags noted
2026-07-06T08:56:00Z	p0-alerts	wired alert evaluation into hourly cron with cooldown and email/webhook delivery	rules could be created but never evaluated or delivered in production	apps/api/src/lib/alert-delivery.ts;apps/api/src/lib/scheduled-jobs.ts;apps/api/src/index.ts	verified
2026-07-06T08:57:00Z	p0-warehouse	wired due warehouse schedules into hourly cron	scheduled queries only ran on manual run-due POST	apps/api/src/lib/scheduled-jobs.ts	test/lib/scheduled-jobs.spec.ts green
2026-07-06T08:58:00Z	p0-workflows	implemented webhook and email workflow delivery from ingest	workflow executions stayed queued without outbound action	apps/ingest/src/routes/collect.ts;apps/api/src/routes/internal.ts	test/integration.spec.ts green
2026-07-06T08:59:00Z	p1-frontend	delegated warehouse/logs/errors/surveys/flags/permissions UI to poteto-agent	second-layer API surfaces were not exposed in dashboard	agent 1d29f3d3-9ee0-4459-baad-7bd295917c1d	verified
2026-07-06T09:16:00Z	p1-tests	added insights, internal deliver-email, actions/annotations route tests plus source-maps lib test	close route-layer coverage gaps from inventory	apps/api/test/routes/*.spec.ts;apps/api/test/lib/source-maps.spec.ts	verified
2026-07-06T09:17:00Z	p0-hardening	source map stack resolution on error detail and warehouse data source cron sync	production loops still missing symbolication and connector health checks	apps/api/src/lib/source-maps.ts;apps/api/src/lib/errors.ts;apps/api/src/lib/warehouse.ts;apps/api/src/lib/scheduled-jobs.ts	verified
2026-07-06T09:17:30Z	p2-i18n	ja/de/fr locales already use mergeLocale fallback	new PostHog module strings inherit en-US when untranslated	apps/dashboard/src/lib/i18n.ts	verified
2026-07-06T09:18:00Z	docs	updated README current stage and development.md test coverage narrative	inventory exit criteria need accurate public summary	README.md;docs/development.md	verified
2026-07-06T09:48:00Z	people	added person + person_group_membership tables, identify/group ingest upserts, PATCH people API, enriched read queries	minimal dedicated profile store before richer CRM features	packages/db/migrations/0030_people.sql;packages/db/src/person-store.ts;apps/api/src/lib/people.ts;apps/ingest/src/routes/collect.ts	verified
2026-07-06T09:48:30Z	actions	moved in-memory rule evaluator to shared and tag events at ingest with $flareboard_action_* keys	query-time SQL alone missed runtime action attribution	packages/shared/src/action-evaluator.ts;apps/ingest/src/lib/actions.ts	verified
2026-07-06T09:49:00Z	warehouse	imported http_json sources into warehouse_import with INSERT OR REPLACE upsert by primaryKey	probe-only sync did not make external rows queryable	packages/db/migrations/0031_warehouse_import.sql;apps/api/src/lib/warehouse.ts	verified
2026-07-06T09:49:30Z	docs	added docs/ingest.md and updated capability boundaries in api.md + development.md	ingest payload semantics were undocumented	docs/ingest.md;docs/api.md;docs/development.md	verified
2026-07-06T09:50:00Z	ux-a11y	Phase 3 partial: skip link, nav focus states, mobile table scroll	minimal high-impact a11y/responsive pass	apps/dashboard/src/components/SidebarShell.tsx;apps/dashboard/src/styles/global.css	verified
2026-07-06T09:51:00Z	frame	closed PostHog upgrade inventory loop	all five remaining items verified; 136 API + 29 ingest + 17 shared tests green	README.md;pnpm test suites	verified
2026-07-06T10:15:00Z	ux-a11y	Phase 3 complete: SegmentTabs keyboard nav, report section anchors, shell aria-labels, PostHog page responsive table scroll	high-impact a11y/responsive items were still partial	apps/dashboard/src/components/SegmentTabs.tsx;apps/dashboard/src/pages/Reports.tsx;apps/dashboard/UX-DESIGN.md	verified
2026-07-06T10:16:00Z	people	dashboard PATCH properties UI wired to existing API with canEdit gate	minimal operator edit path without full CRM	apps/dashboard/src/pages/WebsitePeople.tsx	verified
2026-07-06T10:16:30Z	people	$alias ingest stores profile property and secondary distinct_id row; list/search shows latestAlias	smallest alias path without merge graph table	apps/ingest/src/routes/collect.ts;apps/api/src/lib/people.ts;docs/ingest.md	verified
2026-07-06T10:17:00Z	actions	backfillActionTags lib + internal route + pnpm backfill:action-tags script	idempotent historical tag repair without cron	apps/api/src/lib/action-backfill.ts;scripts/backfill-action-tags.ts	verified
2026-07-06T10:17:30Z	warehouse	http_csv data source sync parses CSV header row into warehouse_import	reuses primaryKey upsert path from http_json	apps/api/src/lib/warehouse.ts;apps/api/test/lib/warehouse-import.spec.ts	verified
2026-07-06T10:18:00Z	frame	PostHog upgrade inventory fully closed	README and decisions.tsv synced; api/ingest/dashboard tests green	README.md;decisions.tsv	verified
